dataset,family,algorithm,seed,n_samples,n_features,true_clusters,seconds,ari,nmi,clusters_found,silhouette,davies_bouldin,calinski_harabasz
wine,real_tabular,MBC_no_compact,11,178,10,3,0.249187899986282,-0.0015385119771071992,0.01687822596287048,3.0,0.0485375472718412,1.1524666268685355,2.3734955331115097
wine,real_tabular,MBC_no_polarity,11,178,10,3,0.26681389997247607,0.8974949815093207,0.8758935341223069,3.0,0.29867482943692875,1.3363263335155775,76.17957977418826
wine,real_tabular,MBC_no_capillary,11,178,10,3,0.24884839996229857,0.8974949815093207,0.8758935341223069,3.0,0.29867482943692875,1.3363263335155775,76.17957977418826
wine,real_tabular,MBC_micro_only,11,178,10,3,0.27612980001140386,0.7313551927625639,0.748319426964501,8.0,0.23445559326009466,1.2683576892479802,33.47364743775948
breast_cancer,real_tabular,MBC,11,569,10,2,0.5363248999929056,0.6707206476880808,0.554612218410556,2.0,0.3579864216984321,1.2596589047411835,288.12456737363806
breast_cancer,real_tabular,MBC_no_compact,11,569,10,2,0.4976690000621602,0.025924728477551076,0.037099581922324855,2.0,0.4542339814641919,1.0916582163863948,43.49999475322657
breast_cancer,real_tabular,MBC_no_polarity,11,569,10,2,0.473281699931249,0.6707206476880808,0.554612218410556,2.0,0.3579864216984321,1.2596589047411835,288.12456737363806
breast_cancer,real_tabular,MBC_no_capillary,11,569,10,2,0.49253119993954897,0.6707206476880808,0.554612218410556,2.0,0.3579864216984321,1.2596589047411835,288.12456737363806
breast_cancer,real_tabular,MBC_micro_only,11,569,10,2,0.4823876000009477,0.40115760804121336,0.37997141379077665,13.0,0.14420846853026062,1.4922898041764445,76.61654459678608
digits_0_4,real_image_features,MBC,11,901,10,5,0.9345749999629334,0.7795342806637048,0.7908219663678139,5.0,0.2988193261513053,1.4587551572775124,212.5701369947959
