index,dataset,family,algorithm,ari_mean,ari_std,nmi_mean,nmi_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std,seconds_mean,seconds_std,clusters_found_mean,clusters_found_std
57,varied_density,synthetic_density,MBC_no_capillary,0.02914272102905282,0.0195941974473049,0.092616553160289,0.04345789985347044,0.23360648109243837,0.11411767578319451,0.6781243713071611,0.1381926294189576,50.789906508188324,16.706706322576,0.37714815998915585,0.031076087239290114,3.0,0.0
58,varied_density,synthetic_density,MBC_no_compact,0.015106083416148544,0.016831050534801575,0.07370797640255436,0.0259273902155328,0.14925549048571202,0.206748072905733,0.8625601987792345,0.4447435350530416,37.69116413942552,21.3440468546111,0.3750295599689707,0.029892853919307093,3.0,0.0
59,varied_density,synthetic_density,MBC_no_polarity,0.01701065044022343,0.012312755701957875,0.06270959092290176,0.04105170606795163,0.3392929225587251,0.151949591743027,0.5522224102165192,0.1441956713311131,39.25798155661716,20.255718675984095,0.3807667399989441,0.03267389651124707,2.6,0.5477225575051661
60,vehicle,real_tabular,MBC,0.07576506746325873,0.0012302312445152603,0.11589897978430867,0.0008982508518480937,0.3100793036800235,0.00031897655372854485,1.05199017391795,0.004190965962453943,446.13594105209916,0.23855082733173566,1.774039060017094,0.16578610949957243,4.0,0.0
61,vehicle,real_tabular,MBC_micro_only,0.09425290900394451,0.006031158221515164,0.239722049873975,0.01747715068318214,0.15828687457640878,0.014125065439080835,1.4967248803861368,0.058379029391053466,146.8083704865309,28.58950369948525,1.7538966600084678,0.15391322405318217,27.6,1.1401754250991376
62,vehicle,real_tabular,MBC_no_capillary,0.07576506746325873,0.0012302312445152603,0.11589897978430867,0.0008982508518480965,0.3100793036800235,0.00031897655372854485,1.05199017391795,0.004190965962453943,446.13594105209916,0.23855082733173566,1.6649359400151298,0.14845879802210277,4.0,0.0
63,vehicle,real_tabular,MBC_no_compact,0.014996959617208521,0.010842244668156283,0.058074609487922216,0.020057202513990714,-0.033633161253165934,0.0798368703629419,1.9264081512075826,0.4824885121805626,66.61161066627184,40.32404055855701,1.71561821999494,0.1730297138969152,4.0,0.0
64,vehicle,real_tabular,MBC_no_polarity,0.07576506746325873,0.0012302312445152603,0.11589897978430867,0.0008982508518480937,0.3100793036800235,0.00031897655372854485,1.05199017391795,0.004190965962453943,446.13594105209916,0.23855082733173566,1.6421899799956008,0.16087404402238037,4.0,0.0
65,wdbc,real_tabular,MBC,0.6673014390286682,0.007645582991702477,0.5501713466990932,0.009930091026186522,0.35768127868884936,0.0006823225449176448,1.261307187759685,0.0036856951254547942,288.1204889412674,0.009126440158012354,0.5052073600003496,0.027065706107646175,2.0,0.0
66,wdbc,real_tabular,MBC_micro_only,0.3654609475718339,0.07235839449303282,0.3759621630393505,0.013760044828785187,0.1543493589549641,0.006475989548815994,1.5335679522016246,0.08050538784860009,74.08890769018751,4.885555390080986,0.49613280000630766,0.023242268718572656,13.8,1.30384048104053
67,wdbc,real_tabular,MBC_no_capillary,0.6673014390286682,0.007645582991702477,0.5501713466990932,0.009930091026186522,0.35768127868884936,0.0006823225449176448,1.261307187759685,0.0036856951254547942,288.1204889412674,0.009126440158012354,0.4911728800041601,0.02729827634533933,2.0,0.0
68,wdbc,real_tabular,MBC_no_compact,0.012656387136745096,0.013178565935468128,0.02905131158178708,0.008062000826619026,0.4575190679867472,0.023850034630862813,0.9140908090627912,0.12557675431756,31.985334812902874,7.150596512451426,0.47907091996166856,0.02587350816000594,2.0,0.0
69,wdbc,real_tabular,MBC_no_polarity,0.6673014390286682,0.007645582991702477,0.5501713466990932,0.009930091026186522,0.35768127868884936,0.0006823225449176448,1.261307187759685,0.0036856951254547942,288.1204889412674,0.009126440158012354,0.4764575800159946,0.010454178037654773,2.0,0.0
70,wine,real_tabular,MBC,0.8974949815093207,0.0,0.8758935341223069,0.0,0.29867482943692875,0.0,1.3363263335155775,0.0,76.17957977418826,0.0,0.29302093998994677,0.03638542541596697,3.0,0.0
71,wine,real_tabular,MBC_micro_only,0.6970551067103468,0.04415119218947002,0.7156411702603117,0.030183789306776957,0.21488165352675526,0.036200969642859675,1.3069879702727218,0.03942125065020361,33.37502922120564,2.4768279606131296,0.26373027998488396,0.014777929721790262,8.2,0.8366600265340757
72,wine,real_tabular,MBC_no_capillary,0.8974949815093207,0.0,0.8758935341223069,0.0,0.29867482943692875,0.0,1.3363263335155775,0.0,76.17957977418826,0.0,0.2528153800172731,0.01339249956473036,3.0,0.0
73,wine,real_tabular,MBC_no_compact,0.25105152561840216,0.23464383649966308,0.3358802970167353,0.27642087566366924,0.15665687588329374,0.10484491118100445,1.2909924174921021,0.16090627709849928,23.804610941566878,18.40145044583611,0.24905765997245907,0.00861615258844968,3.0,0.0
74,wine,real_tabular,MBC_no_polarity,0.8974949815093207,0.0,0.8758935341223069,0.0,0.29867482943692875,0.0,1.3363263335155775,0.0,76.17957977418826,0.0,0.2648076599929482,0.01561980893496793,3.0,0.0
